inst#,actual,predicted,error
1,15,11.325,-3.675
2,20,17.023,-2.977
3,350,360.496,10.496
4,253,244.648,-8.352
5,42,41.317,-0.683
6,41,39.565,-1.435
7,75,71.053,-3.947
8,138,140.077,2.077
9,44,43.32,-0.68
10,99,98.71,-0.29
11,72,70.751,-1.249
12,25,23.171,-1.829
13,28,26.625,-1.375
14,18,27.414,9.414
15,120,122.034,2.034
16,42,41.896,-0.104
17,26,25.914,-0.086
18,23,20.521,-2.479
19,978,898.546,-79.454
20,25,26.942,1.942
21,21,18.924,-2.076
22,227,230.774,3.774
23,46,45.692,-0.308
24,190,178.309,-11.691
25,34,30.901,-3.099
26,181,188.093,7.093
27,749,843.806,94.806
28,82,80.131,-1.869
29,24,21.236,-2.764
30,253,244.666,-8.334
31,24,22.106,-1.894
32,41,41.124,0.124
33,25,24.585,-0.415
34,33,32.919,-0.081
35,74,73.54,-0.46
36,34,30.821,-3.179
37,76,74.147,-1.853
38,86,85.241,-0.759
39,171,175.629,4.629
40,57,55.006,-1.994
41,24,21.124,-2.876
42,23,22.849,-0.151
43,22,22.875,0.875
44,126,127.051,1.051
45,603,649.638,46.638
46,88,85.464,-2.536
47,74,73.432,-0.568
48,919,842.048,-76.952
49,28,27.594,-0.406
50,360,366.895,6.895
51,181,188.076,7.076
52,157,149.223,-7.777
53,34,30.769,-3.231
54,29,27.964,-1.036
55,266,274.047,8.047
56,82,83.756,1.756
57,128,127.991,-0.009
58,31,31.746,0.746
59,381,373.521,-7.479
60,136,141.208,5.208
61,426,458.144,32.144
62,32,30.953,-1.047
63,113,106.085,-6.915
64,28,30.395,2.395
65,52,53.211,1.211
66,64,63.167,-0.833
67,40,41.389,1.389
68,46,45.88,-0.12
69,29,30.411,1.411
70,220,212.842,-7.158
