inst#,actual,predicted,error
1,15,11.279,-3.721
2,20,16.533,-3.467
3,350,359.455,9.455
4,253,241.293,-11.707
5,42,40.356,-1.644
6,41,39.658,-1.342
7,75,71.353,-3.647
8,138,140.361,2.361
9,44,43.216,-0.784
10,99,99.029,0.029
11,72,70.594,-1.406
12,25,22.929,-2.071
13,28,26.493,-1.507
14,18,27.13,9.13
15,120,122.747,2.747
16,42,41.183,-0.817
17,26,24.933,-1.067
18,23,19.701,-3.299
19,978,934.91,-43.09
20,25,25.283,0.283
21,21,18.03,-2.97
22,227,230.851,3.851
23,46,45.178,-0.822
24,190,181.907,-8.093
25,34,30.184,-3.816
26,181,185.597,4.597
27,749,822.044,73.044
28,82,80.709,-1.291
29,24,21.075,-2.925
30,253,242.56,-10.44
31,24,21.851,-2.149
32,41,40.824,-0.176
33,25,23.435,-1.565
34,33,32.382,-0.618
35,74,73.843,-0.157
36,34,30.443,-3.557
37,76,73.762,-2.238
38,86,85.228,-0.772
39,171,177.778,6.778
40,57,55.196,-1.804
41,24,21.011,-2.989
42,23,22.116,-0.884
43,22,21.862,-0.138
44,126,127.274,1.274
45,603,630.616,27.616
46,88,85.865,-2.135
47,74,73.75,-0.25
48,919,859.373,-59.627
49,28,26.652,-1.348
50,360,365.677,5.677
51,181,184.542,3.542
52,157,151.848,-5.152
53,34,30.406,-3.594
54,29,27.919,-1.081
55,266,272.06,6.06
56,82,83.372,1.372
57,128,128.141,0.141
58,31,30.329,-0.671
59,381,368.804,-12.196
60,136,141.842,5.842
61,426,455.405,29.405
62,32,30.745,-1.255
63,113,107.054,-5.946
64,28,28.466,0.466
65,52,51.774,-0.226
66,64,62.889,-1.111
67,40,40.574,0.574
68,46,45.696,-0.304
69,29,29.166,0.166
70,220,211.598,-8.402
