inst#,actual,predicted,error
1,2,1.996,-0.004
2,3,2.808,-0.192
3,2,2.06,0.06
4,2,1.989,-0.011
5,3,3.042,0.042
6,2,2.01,0.01
7,2,1.984,-0.016
8,2,1.976,-0.024
9,1,1.032,0.032
10,1,0.974,-0.026
11,1,1.01,0.01
12,1,1.007,0.007
13,1,0.992,-0.008
14,2,1.938,-0.062
15,2,1.968,-0.032
16,1,1,-0
17,2,2.017,0.017
18,2,1.985,-0.015
19,2,1.996,-0.004
20,2,2.338,0.338
21,1,1.001,0.001
22,3,3.024,0.024
23,3,2.991,-0.009
24,1,1.005,0.005
25,1,0.977,-0.023
26,2,1.995,-0.005
27,3,3.021,0.021
28,1,1.009,0.009
29,2,1.841,-0.159
30,2,1.967,-0.033
31,2,2.005,0.005
32,1,1.009,0.009
33,1,1.004,0.004
34,3,3.037,0.037
35,2,2.017,0.017
36,3,3.003,0.003
37,1,1.02,0.02
38,3,2.972,-0.028
39,3,3.019,0.019
40,2,1.907,-0.093
41,2,1.479,-0.521
42,1,1.006,0.006
43,1,1.005,0.005
44,3,2.858,-0.142
45,2,2.006,0.006
46,2,2.012,0.012
47,2,1.998,-0.002
48,2,1.924,-0.076
49,2,1.995,-0.005
50,2,1.994,-0.006
51,2,1.97,-0.03
52,1,1.029,0.029
53,2,1.998,-0.002
54,3,3.031,0.031
55,2,1.986,-0.014
56,3,3.093,0.093
57,2,1.49,-0.51
58,1,1.017,0.017
59,2,1.934,-0.066
