inst#,actual,predicted,error
1,2,1.94,-0.06
2,3,2.734,-0.266
3,2,2.055,0.055
4,2,1.994,-0.006
5,3,3.039,0.039
6,2,2.004,0.004
7,2,1.994,-0.006
8,2,1.987,-0.013
9,1,1.028,0.028
10,1,0.962,-0.038
11,1,0.99,-0.01
12,1,1.013,0.013
13,1,0.976,-0.024
14,2,1.917,-0.083
15,2,1.988,-0.012
16,1,0.988,-0.012
17,2,2.01,0.01
18,2,1.986,-0.014
19,2,2.019,0.019
20,2,2.274,0.274
21,1,1.016,0.016
22,3,3.003,0.003
23,3,2.999,-0.001
24,1,0.991,-0.009
25,1,0.943,-0.057
26,2,1.977,-0.023
27,3,2.999,-0.001
28,1,1.006,0.006
29,2,1.864,-0.136
30,2,1.97,-0.03
31,2,2.006,0.006
32,1,0.993,-0.007
33,1,1.016,0.016
34,3,3.01,0.01
35,2,2.021,0.021
36,3,2.996,-0.004
37,1,1.014,0.014
38,3,2.956,-0.044
39,3,3.037,0.037
40,2,1.908,-0.092
41,2,1.494,-0.506
42,1,1.016,0.016
43,1,1.023,0.023
44,3,2.821,-0.179
45,2,2.071,0.071
46,2,2.027,0.027
47,2,1.988,-0.012
48,2,1.911,-0.089
49,2,1.998,-0.002
50,2,1.98,-0.02
51,2,1.976,-0.024
52,1,1.026,0.026
53,2,1.988,-0.012
54,3,3.009,0.009
55,2,1.991,-0.009
56,3,3.145,0.145
57,2,1.253,-0.747
58,1,1.043,0.043
59,2,1.92,-0.08
