inst#,actual,predicted,error
1,15,11.787,-3.213
2,20,17.288,-2.712
3,350,359.669,9.669
4,253,244.215,-8.785
5,42,41.407,-0.593
6,41,39.605,-1.395
7,75,72.243,-2.757
8,138,140.648,2.648
9,44,43.368,-0.632
10,99,99.233,0.233
11,72,70.959,-1.041
12,25,23.334,-1.666
13,28,26.798,-1.202
14,18,27.785,9.785
15,120,122.637,2.637
16,42,41.843,-0.157
17,26,25.804,-0.196
18,23,20.654,-2.346
19,978,874.132,-103.868
20,25,26.638,1.638
21,21,19.297,-1.703
22,227,230.877,3.877
23,46,45.711,-0.289
24,190,179.256,-10.744
25,34,30.903,-3.097
26,181,188.495,7.495
27,749,815.643,66.643
28,82,80.534,-1.466
29,24,21.376,-2.624
30,253,244.674,-8.326
31,24,22.214,-1.786
32,41,41.087,0.087
33,25,24.432,-0.568
34,33,32.998,-0.002
35,74,73.633,-0.367
36,34,30.76,-3.24
37,76,74.322,-1.678
38,86,85.558,-0.442
39,171,176.494,5.494
40,57,55.966,-1.034
41,24,21.263,-2.737
42,23,22.985,-0.015
43,22,22.776,0.776
44,126,127.741,1.741
45,603,645.149,42.149
46,88,85.778,-2.222
47,74,73.524,-0.476
48,919,809.051,-109.949
49,28,28.138,0.138
50,360,366.671,6.671
51,181,188.197,7.197
52,157,151.532,-5.468
53,34,30.697,-3.303
54,29,28.197,-0.803
55,266,272.906,6.906
56,82,83.788,1.788
57,128,128.911,0.911
58,31,31.607,0.607
59,381,371.794,-9.206
60,136,142.008,6.008
61,426,456.669,30.669
62,32,31.216,-0.784
63,113,107.693,-5.307
64,28,30.543,2.543
65,52,52.854,0.854
66,64,63.374,-0.626
67,40,41.345,1.345
68,46,46.025,0.025
69,29,30.108,1.108
70,220,213.662,-6.338
